Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
318,Harry Maguire,eng ENG,DF,Manchester Utd,32-056,1993,23,17,"1,483",16.5,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.7,6,43,6
319,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-011,2005,21,17,"1,416",15.7,0,0,0,0,0,0,5,0,0.6,0.6,1.6,2.2,21,56,38
320,Tyrell Malacia,nl NED,DF,Manchester Utd,25-256,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6
321,Donyell Malen,nl NED,FW,Aston Villa,26-111,1999,11,2,273,3,3,0,3,3,0,0,0,0,1.7,1.7,0.1,1.7,9,5,23
322,Orel Mangala,be BEL,MF,Everton,27-043,1998,19,14,"1,261",14,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19
323,Ryan Manning,ie IRL,"DF,MF",Southampton,28-320,1996,22,17,"1,369",15.2,0,1,1,0,0,0,2,0,0.3,0.3,3,3.4,13,32,70
324,Solly March,eng ENG,"FW,MF",Brighton,30-284,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20
325,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-082,1999,12,11,916,10.2,6,0,6,6,0,0,0,0,4.7,4.7,1.7,6.4,20,26,63
326,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-316,2001,29,21,"1,956",21.7,7,4,11,7,0,0,1,0,5.9,5.9,4.5,10.3,106,44,259
327,Emiliano Martínez,ar ARG,GK,Aston Villa,32-240,1992,33,33,"2,880",32,0,0,0,0,0,0,4,0,0,0,0.5,0.5,0,3,0
328,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-102,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7
329,Pape Matar Sarr,sn SEN,MF,Tottenham,22-228,2002,32,18,"1,636",18.2,3,2,5,3,0,0,6,0,3.3,3.3,1.5,4.8,29,79,50
330,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-306,1997,33,30,"2,442",27.1,14,2,16,12,2,2,2,0,12.1,10.5,3.1,13.6,37,46,114
331,Stephy Mavididi,eng ENG,FW,Leicester City,26-334,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138
332,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-140,1997,30,20,"1,944",21.6,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2,16,60,2
333,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-167,1997,34,31,"2,639",29.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2,37,102,51
334,Bryan Mbeumo,cm CMR,FW,Brentford,25-266,1999,33,33,"2,964",32.9,18,6,24,13,5,5,2,0,10.6,6.6,7.8,14.5,110,125,300
335,James Mcatee,eng ENG,"MF,FW",Manchester City,22-194,2002,13,2,297,3.3,3,0,3,3,0,0,1,0,2.8,2.8,0.3,3.1,7,6,25
336,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-159,2001,14,5,529,5.9,0,1,1,0,0,0,2,0,0.6,0.6,0.5,1.1,14,10,48
337,Alex McCarthy,eng ENG,GK,Southampton,35-148,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,John McGinn,sct SCO,"MF,FW",Aston Villa,30-194,1994,30,24,"1,992",22.1,1,3,4,1,0,0,7,0,2.9,2.6,3.4,6,30,90,70
339,Dwight McNeil,eng ENG,"MF,FW",Everton,25-159,1999,17,13,"1,185",13.2,3,4,7,3,0,0,1,0,1.1,1.1,3.8,4.8,32,61,68
340,Scott McTominay,sct SCO,MF,Manchester Utd,28-143,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,2
341,Ben Mee,eng ENG,DF,Brentford,35-221,1989,7,2,183,2,0,0,0,0,0,0,2,0,0,0,0,0,3,11,2
342,Jayden Meghoma,eng ENG,DF,Brentford,18-306,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Mikel Merino,es ESP,"MF,FW",Arsenal,28-312,1996,25,15,"1,401",15.6,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,61,86
344,Shumaira Mheuka,eng ENG,MF,Chelsea,17-192,2007,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0
345,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-200,1997,32,32,"2,880",32,4,2,6,4,0,0,4,0,3.6,3.6,0.8,4.4,3,47,6
346,Lewis Miley,eng ENG,MF,Newcastle Utd,18-364,2006,12,1,249,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0,0.6,2,14,7
347,James Milner,eng ENG,MF,Brighton,39-116,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10
348,Tyrone Mings,eng ENG,DF,Aston Villa,32-048,1993,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1,6,39,0
349,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-282,2004,28,16,"1,498",16.6,5,4,9,5,0,0,6,0,3.7,3.7,4.7,8.4,68,37,159
350,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-241,1999,34,34,"2,852",31.7,0,4,4,0,0,0,2,0,1.2,1.2,5.6,6.8,56,62,160
351,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-345,1997,33,28,"2,521",28,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,138,82,277
352,Jakub Moder,pl POL,MF,Brighton,26-023,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,4,0
353,Jeremy Monga,,FW,Leicester City,,,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
354,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-262,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30
355,Morato,br BRA,DF,Nott'ham Forest,23-304,2001,23,5,799,8.9,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,14,1
356,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-326,1993,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34
357,Sam Morsy,eg EGY,MF,Ipswich Town,33-232,1991,29,27,"2,419",26.9,1,1,2,1,0,0,9,0,0.3,0.3,0.8,1.2,14,103,9
358,Yerson Mosquera,co COL,DF,Wolves,23-363,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0
359,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-110,1999,13,4,374,4.2,0,0,0,0,0,0,3,0,1.5,1.5,0.2,1.7,9,18,20
360,Divin Mubama,eng ENG,FW,Manchester City,20-187,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
361,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-115,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1,1.2,7,5,12
362,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-312,1996,10,9,788,8.8,1,1,2,1,0,0,0,0,3,3,1.5,4.5,5,8,24
363,Rodrigo Muniz,br BRA,FW,Fulham,23-361,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31
364,Daniel Muñoz,co COL,DF,Crystal Palace,28-339,1996,33,33,"2,868",31.9,4,4,8,4,0,0,9,0,4.6,4.6,4.4,9,49,83,183
365,Arijanet Muric,xk KVX,GK,Ipswich Town,26-174,1998,18,18,"1,620",18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
366,Murillo,br BRA,DF,Nott'ham Forest,22-300,2002,32,32,"2,838",31.5,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.3,19,100,4
367,Jacob Murphy,eng ENG,FW,Newcastle Utd,30-065,1995,31,27,"2,084",23.2,8,11,19,8,0,0,3,0,5.6,5.6,8.1,13.7,69,63,210
